"Data Source","World Development Indicators",

"Last Updated Date","2019-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6472.50202920407","7885.79654466735","9764.78997879329","11392.4558105764","12307.3117378314","13496.0033851411","14046.5039965619","14936.827039276","16241.0463247117","16439.3563609282","16586.0684357542","17927.7496352086","19078.3431907515","19356.2033894901","20620.7006259175","20669.0319688645","20436.8871286309","20833.7616116694","22569.9749851801","23300.0395575696","24045.2724833547","25835.1326676284","27084.7036903653","24630.4537141023","23512.6025956397","24985.9932813737","24713.6980451285","25025.0995629083","25533.5697803984","25796.3802506382","25239.6004109932","25630.2664922069","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7731938409853","59.8608738790779","58.4580149495439","78.7063875407802","82.0952307131832","101.108304853377","137.594352053111","160.898588872438","129.108323102596","129.329712876621","156.518939442982","159.567578521888","135.31730831433","143.144649500081","173.653764639169","186.510897140201","197.445507551145","224.224797281134","247.354106347038","275.738197619262","272.655285650232","264.111317453061","","","","","","","","","","","","","","","","","","","","","179.426494467624","190.684008786063","211.381969507195","242.031379173351","263.733734678911","359.693480030525","364.660465388571","438.076034406941","543.303041863931","591.16234645088","641.872033785411","637.16504385598","613.856332882312","578.466352941708","547.228110150363","556.302138508508","520.896602719135",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","710.981648140027","642.383857952257","619.96135753111","623.440584831564","637.715230700475","758.237576171151","685.270085316704","756.261853027412","792.303120218644","890.554136459008","947.704182085371","865.69272959239","656.361755960006","441.200673252825","328.673294707808","397.179450769472","522.643807265256","514.295223223424","423.59366023208","387.784316047502","556.836318086553","527.333528536691","872.494491592841","982.960899291112","1255.56404471491","1902.42234554625","2599.56646397608","3121.99563726236","4080.94140992346","3122.78076649385","3587.88379824396","4615.46802807906","5100.09580809767","5254.88233799616","5408.41049555432","4166.97968386501","3506.07288506966","4095.81294155857","3432.38573600893",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.48473584821","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97766752106","717.380567391734","813.790263555599","1033.2416930932","1126.68331762741","1281.65939343074","1425.12484888368","1846.11881331912","2373.57984371994","2673.78728253113","2972.74326462176","3595.03716321514","4370.5399247769","4114.13489916342","4094.35881639579","4437.17779448652","4247.61434236292","4413.08288688408","4578.66793446159","3952.83078116586","4124.10854308316","4532.88919785143","5253.63006411357",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21936.5301014708","22228.8464928922","24741.4935704562","32776.4422698769","38503.4796144857","41282.0201219785","43747.6918489433","48582.2208830236","47785.089272664","43338.8667579064","39736.3540626699","41100.7299382214","38392.9439012206","40626.7516320228","42300.3341276669","36039.6534962289","37224.1089162924","39134.3933706717","42029.7627372989",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","224.086127148429","239.304210928537","262.119821974599","295.181254272602","342.668705051676","422.034191360383","776.209780144657","834.706413476241","1005.50718607176","1121.4820887094","1192.10150344579","1561.77159894963","2050.79947120896","2048.57727540667","1862.77293545322","1697.12927811331","1670.37293230637","1604.99614532842","1487.9207084247","1541.42477815157","1473.93140467874","1503.39261682445","2007.16332476524","1926.49056064529","2024.7210692228","1994.34650759925","1986.81152760661","2069.98762726445","2233.19182828653","2316.39337105926","2186.74982499129","2330.19183269656","2603.87206925193","2508.21218738284","2474.77979658614","2734.31894077444","3132.32781192607","3762.76708708548","4356.15231556893","4959.91501001129","6143.17015159949","5182.36388130857","5945.67855757046","6889.09180617429","7503.17418436683","7551.28283362298","7497.55642733203","6459.10937930651","6202.89045922454","6285.21522795013","6626.13535671051",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26847.7943802772","30118.1377833851","33823.3196498568","28456.7374380931","33512.741325999","42764.4566639901","44987.2097966579","40026.1662502465","34843.1028997611","32309.8077436844","29720.9194734633","23467.9766691997","23726.1523330469","22295.1461115987","24028.1928780116","27729.4664216648","26612.3355369691","26420.8727534823","25596.6922747864","25847.9261239252","27222.0358561647","28975.0229000791","29512.6637440248","26899.601766231","28470.8378632746","33291.419366353","31280.7842785952","31567.4737120596","33499.0937513705","36333.2498445266","39365.3359152723","41907.405655968","41809.516382842","44498.9342301633","32024.1816031187","33893.303514039","39194.6766208456","40976.4997112455","42412.6302780364","43751.8388860721","38663.3838066363","38141.8467585492","40325.3820005643","43004.9486462341",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1155.89017025099","850.30473690206","1173.23821277123","1279.11343214531","1272.80297767396","1062.54355190601","1141.0804807929","1329.05865921566","1322.59080368944","1372.3743432739","1408.86520848881","2097.02257902742","2844.86364753884","2027.33712384746","1948.22468587272","2129.70828089903","2146.36448309866","2520.92163373012","2758.83521210768","2776.32199028147","2927.89756021605","3553.37775166279","2659.70860023312","2926.126969514","3613.62170927636","3562.87560174521","3985.19121035849","2383.86769311311","4333.48297312146","5735.36032735223","6823.5376160468","6969.11808781005","7483.13968170844","7408.70823818765","7721.35454273963","8213.12719994479","8289.50572933118","7774.73620280001","7708.10099605414","7208.3715665121","2593.40415042466","3349.8061244115","4277.72135064389","5109.85132522621","5919.01203707753","7245.44831728945","9020.87309807194","8225.13717626412","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14591.8633810541","11652.5662897487",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.854659491342","590.121047267559","369.632616583198","357.203277745679","400.515238080735","456.375048663809","504.058559449916","523.283068040748","609.172437516102","597.432514707894","622.742139063498","694.42322774468","783.240698647042","930.127321851799","1191.91901957402","1643.7530293611","2158.14369710179","3139.27749894333","4010.85724255226","2994.34254448509","3218.37270660563","3525.80474671153","3681.8574560431","3838.18580148382","3986.23162376713","3607.29669672271","3591.82927553023","3914.5012684128","4212.07094272937",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8700.06770480704","8856.54745899435","8578.94472277609","8444.98169974145","8391.56106721708","8909.44915617236","9792.66680581646","11961.2582255703","10271.2245225485","10294.3022651052","11568.7930012395","11505.3937142139","11525.1563872309","11843.3311832581","11714.8956782261","11398.7774181949","",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1246.75032905458","1416.5861996499","1760.717634441","2124.48115520353","2392.26107515282","2660.60115717135","2947.93553600212","3372.49289962607","3899.32872843063","4703.17940118439","5463.24127633961","6453.47700017448","7076.42221194876","7348.21294282384","7601.84849106528","7744.27491660046","8136.16883983425","8770.75163074508","8406.59299171022","9030.97529861385","9492.03825604026","9940.19163925206","10260.5850219076","10920.8426880891","10370.6711296076","10404.4362134662","10789.950959787","11446.6384702767","12547.6130399103","13989.7156660433","15607.0898690088","16024.3455512142","14113.0772600466","13092.0738182632","12795.5690668765","13399.2379486965","13035.0936407801","13780.7823704952","14526.5880847823","15494.3054718052","15824.6678131824","16864.3833609901",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1807.78571021206","1874.83894028834","1851.84185074588","1964.1504696359","2128.06835509202","2277.65674202327","2340.43868460617","2576.2845085275","2720.08260948799","2986.94950744786","3299.84320663058","3489.95229368358","3943.7876390397","4763.72414678031","6473.16515297326","6994.30821815538","7476.74874774519","7765.07054434927","8242.07583168531","9281.52335605458","10194.3945390856","11833.8209924158","12766.5949486666","11518.6685192068","12431.9458488308","11437.7131376782","11364.3267992229","11624.4582135681","14254.6455959182","17798.0721043221","18211.1393093648","18821.2503388273","18569.5050433214","17633.9779519258","18045.8652617007","20319.6306283956","21861.32550987","23468.5968306374","21318.9641694318","20533.035061907","21679.2478424147","19490.8611097303","20082.4832672749","23447.0310006717","30430.6764374443","33999.2428575835","36044.9228108485","40960.0544948199","49601.6567082178","42772.3591664498","52022.1255961876","62517.8337471503","68012.1479005934","68150.1070413215","62510.7911705641","56748.4202606605","50019.9677677114","54093.6021908944","57305.2990162045",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2058.76907922607","2380.97844333246","2924.04887110057","3890.72245647634","4630.7572070671","5285.62072414121","5678.38663782273","6810.6277286986","8205.46892702823","9793.76530724628","10869.5464236099","9385.24901832146","9410.34722457985","9537.40743056414","8991.06507601017","9172.09676880976","13083.0726978243","16392.7695665813","17578.6189397397","17468.9461918554","21680.9896863626","22410.9117362704","24880.164070125","24081.5278077646","25646.7006591684","30325.8495818396","29809.0767730821","26705.4785993891","27361.8751106437","27174.2971559775","24564.4582948404","24537.5142629883","26401.7454564357","32222.8972411655","36821.5214680093","38403.1338770715","40635.2818159724","46855.7717452095","51708.7657541758","47963.1794023217","46858.0432733717","51374.9584066934","48567.69528642","50716.7087062864","51717.4959405515","44176.6717431334","45103.3298149578","47380.8296365374","51512.9054751534",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1237.324491677","1209.23749284959","676.15151145252","529.813661843287","436.216868966934","397.198116117247","409.210755159618","505.563774721979","561.907035403795","573.893296585846","655.097432602586","703.683843432722","763.080637985358","883.64399654717","1045.00937916805","1578.40239029603","2473.08181863536","3851.43786871172","5574.60380218613","4950.29479142375","5842.80578358576","7189.69122920765","7496.29464768263","7875.75695254288","7891.31314749986","5500.32049702735","3880.73873089556","4147.08971569171","4721.17808673142",
